"","ticker","date","marcap"
"1","LUV",2012-12-31,13126200000
"2","LUV",2011-12-31,7571700000
"3","LUV",2010-12-31,6539600000
"4","LUV",2009-12-31,9779500000
"5","LUV",2008-12-31,8614600000
"6","LUV",2007-12-31,5969700000
"7","LUV",2006-12-31,9129100000
"8","LUV",2005-12-31,12268400000
"9","LUV",2004-12-31,13121900000
"10","LUV",2003-12-31,12379800000
"11","LUV",2002-12-31,12689500000
"12","LUV",2001-12-31,10806300000
"13","LUV",2000-12-31,14187500000
"14","LUV",1999-12-31,16034100000
"15","DAL",2012-12-31,23244300000
"16","DAL",2011-12-31,9788200000
"17","DAL",2010-12-31,7082100000
"18","DAL",2009-12-31,9806300000
"19","DAL",2008-12-31,9206100000
"20","DAL",2007-12-31,3230400000
"21","DAL",2006-12-31,3880600000
"22","DAL",2003-12-31,962700000
"23","DAL",2002-12-31,1472600000
"24","DAL",2001-12-31,1572600000
"25","DAL",2000-12-31,3455900000
"26","DAL",1999-12-31,5948200000
"27","JBLU",2012-12-31,2411200000
"28","JBLU",2011-12-31,1614800000
"29","JBLU",2010-12-31,1.572e+09
"30","JBLU",2009-12-31,1951200000
"31","JBLU",2008-12-31,1660500000
"32","JBLU",2007-12-31,1789400000
"33","JBLU",2006-12-31,1097800000
"34","JBLU",2005-12-31,2526700000
"35","JBLU",2004-12-31,2454500000
"36","JBLU",2003-12-31,2405600000
"37","JBLU",2002-12-31,2712300000
"38","JBLU",2001-12-31,1855400000
"39","ALK",2012-12-31,5.095e+09
"40","ALK",2011-12-31,3035300000
"41","ALK",2010-12-31,2721500000
"42","ALK",2009-12-31,2095800000
"43","ALK",2008-12-31,1.274e+09
"44","ALK",2007-12-31,1032300000
"45","ALK",2006-12-31,1045300000
"46","ALK",2005-12-31,1622900000
"47","ALK",2004-12-31,977400000
"48","ALK",2003-12-31,867600000
"49","ALK",2002-12-31,735200000
"50","ALK",2001-12-31,635100000
"51","ALK",2000-12-31,749200000
"52","ALK",1999-12-31,816500000
"53","LCC",2011-12-31,2.128e+09
"54","LCC",2010-12-31,9.24e+08
"55","LCC",2009-12-31,1.667e+09
"56","LCC",2008-12-31,832900000
"57","LCC",2007-12-31,872900000
"58","LCC",2006-12-31,1.39e+09
"59","LCC",2005-12-31,4919900000
"60","LCC",2004-12-31,0
"61","UAL",2012-12-31,13689600000
"62","UAL",2011-12-31,7709300000
"63","UAL",2010-12-31,6.703e+09
"64","UAL",2009-12-31,4113300000
"65","UAL",2001-12-31,8.8e+07
"66","UAL",2000-12-31,6.97e+08
"67","UAL",1999-12-31,2181700000
"68","BBT",2012-12-31,26307800000
"69","BBT",2011-12-31,20328700000
"70","BBT",2010-12-31,17664500000
"71","BBT",2009-12-31,18372400000
"72","BBT",2008-12-31,17612400000
"73","BBT",2007-12-31,14331100000
"74","BBT",2006-12-31,17111800000
"75","BBT",2005-12-31,23934700000
"76","BBT",2004-12-31,23319600000
"77","BBT",2003-12-31,23386800000
"78","BBT",2002-12-31,2.0918e+10
"79","BBT",2001-12-31,17901200000
"80","BBT",2000-12-31,16429700000
"81","BBT",1999-12-31,15154300000
"82","AMZN",2012-12-31,182539700000
"83","AMZN",2011-12-31,112484400000
"84","AMZN",2010-12-31,81458600000
"85","AMZN",2009-12-31,82957200000
"86","AMZN",2008-12-31,6.0161e+10
"87","AMZN",2007-12-31,22067800000
"88","AMZN",2006-12-31,39113800000
"89","AMZN",2005-12-31,16526300000
"90","AMZN",2004-12-31,19896800000
"91","AMZN",2003-12-31,18185100000
"92","AMZN",2002-12-31,21014100000
"93","AMZN",2001-12-31,8489700000
